,Player,position_estimate_PG%,position_estimate_SG%,position_estimate_SF%,position_estimate_PF%,position_estimate_C%,plusminus_per100_OnCourt,plusminus_per100_On-Off,to_BadPass,to_LostBall,foulcomm_Shoot,foulcomm_Off.,fouldraw_Shoot,fouldraw_Off.,PGA,And1,Salary
0,Precious Achiuwa,0.0,0.0,0.0,0.17,0.83,-1.5,-3.8,8.0,21.0,53.0,19.0,59.0,7.0,128.0,15.0,2840160.0
1,Steven Adams,0.0,0.0,0.0,0.0,1.0,9.5,8.3,40.0,10.0,40.0,23.0,51.0,7.0,223.0,15.0,17926829.0
2,Bam Adebayo,0.0,0.0,0.0,0.0,1.0,1.7,5.4,61.0,46.0,86.0,50.0,196.0,10.0,587.0,37.0,30351780.0
3,Ochai Agbaji,0.38,0.4,0.2,0.03,0.0,-0.5,0.9,15.0,8.0,65.0,9.0,32.0,3.0,159.0,4.0,3918360.0
4,Santi Aldama,0.0,0.0,0.02,0.69,0.29,2.2,-2.4,19.0,20.0,93.0,11.0,48.0,11.0,231.0,12.0,2094120.0
5,Nickeil Alexander-Walker,0.02,0.39,0.51,0.08,0.0,-2.5,-2.0,38.0,9.0,59.0,3.0,25.0,23.0,262.0,6.0,5009633.0
6,Grayson Allen,0.05,0.75,0.21,0.0,0.0,5.7,4.1,49.0,11.0,68.0,1.0,44.0,23.0,409.0,7.0,8925000.0
7,Jarrett Allen,0.0,0.0,0.0,0.0,1.0,7.9,4.9,41.0,18.0,91.0,17.0,100.0,13.0,271.0,20.0,20000000.0
8,Jose Alvarado,1.0,0.0,0.0,0.0,0.0,4.7,3.9,46.0,20.0,61.0,6.0,33.0,15.0,430.0,5.0,1563518.0
9,Kyle Anderson,0.0,0.0,0.08,0.9,0.02,1.9,4.0,54.0,21.0,63.0,10.0,67.0,16.0,780.0,16.0,8780488.0
10,Giannis Antetokounmpo,0.0,0.0,0.0,0.59,0.41,7.4,7.8,71.0,62.0,69.0,59.0,385.0,5.0,927.0,98.0,42492492.0
11,Thanasis Antetokounmpo,0.0,0.0,0.16,0.52,0.32,-25.9,-31.1,1.0,2.0,10.0,4.0,9.0,0.0,39.0,0.0,1878720.0
12,Cole Anthony,1.0,0.0,0.0,0.0,0.0,-0.6,3.6,43.0,28.0,83.0,6.0,76.0,8.0,558.0,20.0,3613680.0
13,OG Anunoby,0.02,0.5,0.48,0.01,0.0,2.1,2.4,55.0,29.0,88.0,29.0,79.0,15.0,307.0,19.0,17357143.0
14,Ryan Arcidiacono,0.85,0.15,0.0,0.0,0.0,-10.3,-8.0,4.0,3.0,10.0,0.0,0.0,7.0,53.0,0.0,1836090.0
15,Deni Avdija,0.0,0.08,0.62,0.3,0.0,-0.6,1.3,62.0,30.0,129.0,23.0,78.0,6.0,502.0,21.0,4916160.0
16,Deandre Ayton,0.0,0.0,0.0,0.03,0.97,-1.6,-6.8,23.0,41.0,117.0,35.0,96.0,0.0,279.0,24.0,30913750.0
17,Udoka Azubuike,0.0,0.0,0.0,0.02,0.99,-11.2,-11.1,2.0,5.0,29.0,2.0,9.0,0.0,24.0,2.0,2174880.0
18,Marvin Bagley III,0.0,0.0,0.0,0.18,0.82,-11.0,-3.4,13.0,11.0,54.0,12.0,51.0,7.0,94.0,12.0,12500000.0
19,Patrick Baldwin Jr.,0.0,0.01,0.22,0.69,0.09,-11.4,-14.0,5.0,0.0,9.0,3.0,3.0,1.0,27.0,0.0,2226000.0
20,LaMelo Ball,0.75,0.25,0.0,0.0,0.0,-5.2,0.8,71.0,17.0,51.0,13.0,40.0,11.0,686.0,9.0,8623920.0
21,Mo Bamba,0.0,0.0,0.0,0.0,1.0,0.8,4.1,11.0,9.0,69.0,8.0,27.0,0.0,111.0,7.0,10300000.0
22,Paolo Banchero,0.0,0.0,0.27,0.7,0.03,-4.5,-4.4,79.0,78.0,90.0,22.0,258.0,8.0,634.0,53.0,11055120.0
23,Desmond Bane,0.04,0.86,0.1,0.0,0.0,8.2,8.6,48.0,33.0,78.0,17.0,78.0,8.0,615.0,28.0,2130240.0
24,Dalano Banton,0.46,0.49,0.06,0.0,0.0,-6.6,-8.4,7.0,7.0,20.0,1.0,11.0,0.0,85.0,2.0,1563518.0
25,Dominick Barlow,0.0,0.0,0.13,0.55,0.32,-12.0,-2.1,5.0,4.0,40.0,5.0,12.0,2.0,59.0,5.0,508891.0
26,Harrison Barnes,0.0,0.0,0.16,0.84,0.0,3.9,4.8,38.0,24.0,52.0,11.0,182.0,23.0,317.0,31.0,18352273.0
27,Scottie Barnes,0.01,0.15,0.6,0.24,0.0,3.0,5.5,99.0,25.0,80.0,13.0,119.0,18.0,888.0,30.0,7644600.0
28,RJ Barrett,0.0,0.3,0.69,0.01,0.0,-0.6,-10.0,73.0,45.0,88.0,19.0,205.0,7.0,486.0,44.0,10900634.0
29,Will Barton,0.13,0.67,0.2,0.01,0.0,-8.3,-9.1,27.0,11.0,36.0,1.0,18.0,2.0,263.0,3.0,15059712.0
30,Charles Bassey,0.0,0.0,0.0,0.04,0.96,-3.6,7.5,14.0,7.0,41.0,13.0,17.0,0.0,112.0,5.0,2674742.0
31,Keita Bates-Diop,0.0,0.01,0.37,0.62,0.0,-8.0,3.2,23.0,17.0,41.0,4.0,84.0,2.0,260.0,23.0,1878720.0
32,Nicolas Batum,0.0,0.0,0.0,0.6,0.41,4.8,7.4,30.0,5.0,67.0,8.0,21.0,5.0,302.0,5.0,19700319.0
33,Darius Bazley,0.0,0.0,0.0,0.16,0.84,-2.9,-4.3,12.0,9.0,24.0,1.0,38.0,3.0,96.0,6.0,4264628.0
34,Bradley Beal,0.1,0.82,0.08,0.0,0.0,0.8,3.6,79.0,45.0,57.0,12.0,104.0,7.0,651.0,26.0,43279250.0
35,Malik Beasley,0.29,0.63,0.09,0.0,0.0,-2.8,-3.2,48.0,29.0,56.0,6.0,26.0,6.0,302.0,10.0,15558035.0
36,MarJon Beauchamp,0.01,0.3,0.56,0.13,0.01,-5.6,-11.2,16.0,11.0,37.0,7.0,18.0,3.0,91.0,2.0,2485200.0
37,Dāvis Bertāns,0.0,0.0,0.04,0.73,0.24,-3.4,-4.2,7.0,1.0,26.0,2.0,5.0,3.0,48.0,1.0,16000000.0
38,Patrick Beverley,0.47,0.45,0.09,0.0,0.0,-1.1,-2.9,32.0,7.0,84.0,6.0,21.0,26.0,453.0,5.0,13801614.0
39,Saddiq Bey,0.0,0.1,0.76,0.13,0.01,-3.4,3.1,19.0,14.0,45.0,12.0,122.0,3.0,282.0,27.0,2959080.0
40,Khem Birch,0.0,0.0,0.0,0.0,1.0,3.6,2.5,1.0,1.0,8.0,6.0,2.0,1.0,18.0,1.0,6667500.0
41,Goga Bitadze,0.0,0.0,0.0,0.0,1.0,2.1,5.5,7.0,8.0,31.0,6.0,17.0,1.0,94.0,4.0,5377520.0
42,Bismack Biyombo,0.0,0.0,0.0,0.01,0.99,3.8,2.5,10.0,12.0,68.0,20.0,33.0,4.0,126.0,12.0,2905851.0
43,Buddy Boeheim,0.0,0.03,0.25,0.72,0.0,1.6,10.3,0.0,0.0,2.0,0.0,1.0,0.0,11.0,0.0,508891.0
44,Bogdan Bogdanović,0.0,0.69,0.32,0.0,0.0,1.8,2.1,39.0,17.0,45.0,2.0,32.0,3.0,343.0,2.0,18000000.0
45,Bojan Bogdanović,0.0,0.01,0.44,0.53,0.02,-8.5,0.0,60.0,52.0,49.0,11.0,93.0,6.0,377.0,20.0,19550000.0
46,Bol Bol,0.0,0.0,0.01,0.82,0.18,-4.4,-2.5,36.0,47.0,50.0,8.0,55.0,3.0,164.0,16.0,2200000.0
47,Leandro Bolmaro,0.0,0.0,0.91,0.09,0.0,-0.1,1.0,5.0,1.0,7.0,0.0,0.0,4.0,17.0,0.0,1709300.0
48,Devin Booker,0.02,0.59,0.4,0.0,0.0,5.5,7.0,75.0,40.0,74.0,17.0,156.0,14.0,715.0,50.0,33833400.0
50,Chris Boucher,0.0,0.05,0.47,0.45,0.03,-0.7,-3.0,7.0,17.0,95.0,8.0,75.0,18.0,65.0,19.0,12690000.0
51,James Bouknight,0.09,0.89,0.03,0.0,0.0,-7.9,-2.4,8.0,12.0,26.0,3.0,14.0,4.0,101.0,2.0,4362240.0
52,Jamaree Bouyea,1.0,0.0,0.0,0.0,0.0,-13.6,-13.6,0.0,2.0,2.0,1.0,1.0,0.0,8.0,0.0,116986.0
53,Tony Bradley,0.0,0.0,0.0,0.0,1.0,13.3,11.8,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2036318.0
54,Malaki Branham,0.55,0.41,0.04,0.0,0.0,-10.6,-0.8,46.0,16.0,76.0,2.0,35.0,6.0,288.0,8.0,2925600.0
55,Jarrell Brantley,0.0,0.13,0.54,0.33,0.0,17.8,19.1,1.0,1.0,2.0,0.0,1.0,0.0,7.0,0.0,105522.0
56,Christian Braun,0.14,0.58,0.27,0.01,0.0,-3.2,-9.2,9.0,8.0,51.0,5.0,31.0,4.0,145.0,10.0,2808600.0
57,Mikal Bridges,0.01,0.38,0.51,0.1,0.0,0.8,-1.5,73.0,37.0,92.0,6.0,159.0,28.0,662.0,43.0,20100000.0
58,Oshae Brissett,0.0,0.01,0.05,0.92,0.03,0.1,4.8,13.0,8.0,41.0,7.0,65.0,6.0,109.0,7.0,1846738.0
59,Malcolm Brogdon,0.52,0.47,0.01,0.0,0.0,5.1,-2.7,42.0,34.0,52.0,7.0,82.0,18.0,616.0,17.0,22600000.0
60,Dillon Brooks,0.0,0.2,0.75,0.05,0.0,4.4,1.7,43.0,27.0,104.0,15.0,70.0,23.0,451.0,18.0,11400000.0
61,Bruce Brown,0.0,0.32,0.64,0.03,0.0,0.9,-5.6,56.0,38.0,108.0,12.0,79.0,11.0,631.0,25.0,6479000.0
62,Greg Brown III,0.0,0.0,0.25,0.67,0.08,-2.5,1.2,2.0,1.0,6.0,0.0,6.0,0.0,7.0,2.0,1563518.0
63,Jaylen Brown,0.0,0.39,0.58,0.03,0.0,5.1,-3.8,61.0,68.0,71.0,30.0,176.0,9.0,599.0,48.0,29776785.0
64,Kendall Brown,0.0,0.54,0.46,0.0,0.0,6.4,9.9,0.0,0.0,3.0,0.0,1.0,0.0,8.0,0.0,508891.0
65,Moses Brown,0.0,0.0,0.0,0.0,1.0,3.8,3.5,2.0,3.0,21.0,5.0,29.0,1.0,9.0,8.0,824041.0
66,Sterling Brown,0.0,0.0,0.65,0.35,0.0,-3.0,-3.6,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,3122602.0
67,Troy Brown Jr.,0.0,0.02,0.7,0.28,0.0,-0.9,-2.7,27.0,10.0,65.0,5.0,18.0,12.0,226.0,5.0,1968175.0
68,Jalen Brunson,1.0,0.0,0.0,0.0,0.0,2.4,-1.9,75.0,39.0,70.0,18.0,169.0,77.0,1036.0,50.0,27733332.0
69,Thomas Bryant,0.0,0.0,0.0,0.03,0.97,-4.2,-6.1,13.0,7.0,68.0,11.0,65.0,3.0,77.0,18.0,1968175.0
70,Reggie Bullock,0.0,0.02,0.45,0.51,0.02,-1.7,-4.7,22.0,1.0,86.0,8.0,3.0,7.0,272.0,1.0,10012800.0
71,Alec Burks,0.02,0.84,0.13,0.01,0.0,-1.0,10.6,24.0,16.0,55.0,7.0,73.0,18.0,270.0,16.0,10012800.0
