,Player,MP_pg,FG_pg,FGA_pg,3P_pg,3PA_pg,2P_pg,2PA_pg,FT_pg,FTA_pg,ORB_pg,DRB_pg,TRB_pg,AST_pg,STL_pg,BLK_pg,TOV_pg,PF_pg,PTS_pg,Salary
0,Precious Achiuwa,20.7,3.6,7.3,0.5,2.0,3.0,5.4,1.6,2.3,1.8,4.1,6.0,0.9,0.6,0.5,1.1,1.9,9.2,2840160.0
1,Steven Adams,27.0,3.7,6.3,0.0,0.0,3.7,6.2,1.1,3.1,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,17926829.0
2,Bam Adebayo,34.6,8.0,14.9,0.0,0.2,8.0,14.7,4.3,5.4,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,30351780.0
3,Ochai Agbaji,20.5,2.8,6.5,1.4,3.9,1.4,2.7,0.9,1.2,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9,3918360.0
4,Santi Aldama,21.8,3.2,6.8,1.2,3.5,2.0,3.4,1.4,1.9,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9.0,2094120.0
5,Nickeil Alexander-Walker,15.0,2.2,5.0,1.0,2.7,1.2,2.3,0.7,1.0,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2,5009633.0
6,Grayson Allen,27.4,3.4,7.7,2.0,5.1,1.4,2.7,1.6,1.8,0.8,2.4,3.3,2.3,0.9,0.2,1.0,1.6,10.4,8925000.0
7,Jarrett Allen,32.6,5.9,9.2,0.0,0.1,5.9,9.1,2.4,3.3,3.3,6.5,9.8,1.7,0.8,1.2,1.4,2.3,14.3,20000000.0
8,Jose Alvarado,21.5,3.3,8.0,1.4,4.0,1.9,4.0,1.1,1.3,0.5,1.9,2.3,3.0,1.1,0.2,1.3,2.0,9.0,1563518.0
9,Kyle Anderson,28.4,3.7,7.2,0.6,1.5,3.0,5.7,1.4,2.0,1.0,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4,8780488.0
10,Giannis Antetokounmpo,32.1,11.2,20.3,0.7,2.7,10.5,17.6,7.9,12.3,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,42492492.0
11,Thanasis Antetokounmpo,5.6,0.5,1.2,0.0,0.2,0.5,1.0,0.3,0.6,0.4,0.8,1.2,0.4,0.1,0.1,0.3,0.6,1.4,1878720.0
12,Cole Anthony,25.9,4.6,10.2,1.3,3.4,3.4,6.7,2.5,2.8,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,13.0,3613680.0
13,OG Anunoby,35.6,6.3,13.2,2.1,5.5,4.2,7.7,2.1,2.5,1.4,3.5,5.0,2.0,1.9,0.7,2.0,3.0,16.8,17357143.0
14,Ryan Arcidiacono,8.6,0.5,1.9,0.4,1.2,0.1,0.7,0.0,0.0,0.0,0.8,0.8,1.2,0.3,0.0,0.4,0.9,1.3,1836090.0
15,Deni Avdija,26.6,3.3,7.6,0.9,3.1,2.4,4.6,1.6,2.2,1.0,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2,4916160.0
16,Deandre Ayton,30.4,7.8,13.2,0.1,0.4,7.7,12.9,2.3,3.0,2.6,7.4,10.0,1.7,0.6,0.8,1.8,2.8,18.0,30913750.0
17,Udoka Azubuike,10.0,1.6,2.0,0.0,0.0,1.6,2.0,0.2,0.6,0.9,2.4,3.3,0.3,0.2,0.4,0.5,0.9,3.5,2174880.0
18,Marvin Bagley III,23.6,4.8,9.1,0.5,1.6,4.4,7.5,1.9,2.6,2.2,4.2,6.4,0.9,0.5,0.7,1.1,1.9,12.0,12500000.0
19,Patrick Baldwin Jr.,7.3,1.4,3.5,1.0,2.7,0.4,0.8,0.1,0.2,0.0,1.3,1.3,0.4,0.2,0.1,0.4,0.5,3.9,2226000.0
20,LaMelo Ball,35.2,8.2,20.0,4.0,10.6,4.2,9.4,2.8,3.4,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,8623920.0
21,Mo Bamba,15.7,2.4,4.9,1.0,2.5,1.4,2.4,0.8,1.3,1.2,3.4,4.6,0.9,0.3,0.9,0.6,2.1,6.6,10300000.0
22,Paolo Banchero,33.8,6.7,15.6,1.2,4.0,5.5,11.6,5.5,7.4,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20.0,11055120.0
23,Desmond Bane,31.7,7.8,16.2,2.9,7.0,4.9,9.2,3.1,3.5,0.7,4.3,5.0,4.4,1.0,0.4,2.2,2.6,21.5,2130240.0
24,Dalano Banton,9.0,1.8,4.2,0.5,1.6,1.3,2.5,0.5,0.8,0.4,1.1,1.5,1.2,0.4,0.4,0.6,1.1,4.6,1563518.0
25,Dominick Barlow,14.6,1.6,3.1,0.0,0.1,1.6,2.9,0.6,0.9,1.6,2.0,3.6,0.9,0.4,0.7,0.5,2.0,3.9,508891.0
26,Harrison Barnes,32.5,4.6,9.6,1.6,4.3,3.0,5.3,4.3,5.0,1.1,3.4,4.5,1.6,0.7,0.1,1.0,1.3,15.0,18352273.0
27,Scottie Barnes,34.8,6.0,13.2,0.8,2.9,5.2,10.3,2.5,3.2,2.3,4.3,6.6,4.8,1.1,0.8,2.0,2.2,15.3,7644600.0
28,RJ Barrett,33.9,7.0,16.1,1.7,5.3,5.3,10.8,4.0,5.4,0.8,4.2,5.0,2.8,0.4,0.2,2.2,2.5,19.6,10900634.0
29,Will Barton,17.7,2.5,6.5,1.2,3.2,1.3,3.3,0.7,0.8,0.3,2.2,2.4,2.0,0.5,0.2,0.9,1.0,6.8,15059712.0
30,Charles Bassey,14.5,2.5,3.9,0.1,0.2,2.4,3.6,0.6,1.1,2.1,3.4,5.5,1.3,0.5,0.9,1.2,2.1,5.7,2674742.0
31,Keita Bates-Diop,21.7,3.5,6.9,0.8,2.1,2.7,4.8,1.8,2.2,1.0,2.7,3.7,1.5,0.7,0.3,0.8,0.9,9.7,1878720.0
32,Nicolas Batum,21.9,2.1,4.9,1.6,4.1,0.5,0.8,0.4,0.6,0.8,3.0,3.8,1.6,0.7,0.6,0.6,1.9,6.1,19700319.0
33,Darius Bazley,14.3,1.9,4.3,0.5,1.2,1.5,3.0,0.9,1.6,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1.0,5.2,4264628.0
34,Bradley Beal,33.5,8.9,17.6,1.6,4.4,7.3,13.2,3.8,4.6,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,43279250.0
35,Malik Beasley,25.8,4.6,11.6,2.9,8.1,1.7,3.4,0.6,0.8,0.4,3.1,3.5,1.5,0.8,0.1,1.1,1.3,12.7,15558035.0
36,MarJon Beauchamp,13.5,1.8,4.7,0.9,2.7,0.9,1.9,0.5,0.7,0.7,1.5,2.2,0.7,0.4,0.1,0.9,1.4,5.1,2485200.0
37,Dāvis Bertāns,10.9,1.5,3.6,1.2,3.1,0.3,0.4,0.3,0.3,0.2,1.0,1.2,0.5,0.2,0.2,0.2,1.2,4.6,16000000.0
38,Patrick Beverley,27.1,2.1,5.4,1.2,3.6,1.0,1.8,0.7,1.0,0.7,3.0,3.7,2.9,0.9,0.6,0.9,2.8,6.2,13801614.0
39,Saddiq Bey,27.6,4.6,10.9,2.0,5.4,2.6,5.4,2.7,3.1,1.3,3.4,4.7,1.5,0.9,0.2,0.9,1.6,13.8,2959080.0
40,Khem Birch,8.1,1.0,1.6,0.1,0.1,0.9,1.5,0.2,0.3,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,6667500.0
41,Goga Bitadze,12.0,1.8,3.3,0.2,0.7,1.7,2.6,0.6,1.1,1.6,2.0,3.6,1.0,0.4,0.7,0.6,1.7,4.4,5377520.0
42,Bismack Biyombo,14.3,2.0,3.4,0.0,0.0,2.0,3.4,0.4,1.1,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,4.3,2905851.0
43,Buddy Boeheim,9.0,0.5,2.7,0.4,2.5,0.1,0.2,0.2,0.2,0.2,0.4,0.6,0.4,0.2,0.0,0.0,0.6,1.6,508891.0
44,Bogdan Bogdanović,27.9,5.1,11.3,2.7,6.7,2.4,4.6,1.2,1.4,0.4,2.6,3.1,2.8,0.8,0.3,1.2,1.6,14.0,18000000.0
45,Bojan Bogdanović,32.1,7.3,14.9,2.5,6.0,4.8,9.0,4.5,5.1,0.6,3.2,3.8,2.6,0.6,0.1,2.3,1.9,21.6,19550000.0
46,Bol Bol,21.5,3.7,6.8,0.4,1.6,3.3,5.2,1.2,1.5,1.0,4.8,5.8,1.0,0.4,1.2,1.6,1.3,9.1,2200000.0
