,Player,Avg_Dist_of_FGA,%_of_FGA_by_dist_2P,%_of_FGA_by_dist_0-3,%_of_FGA_by_dist_3-10,%_of_FGA_by_dist_10-16,%_of_FGA_by_dist_16-3P,%_of_FGA_by_dist_3P,FG%_by_dist_2P,FG%_by_dist_0-3,FG%_by_dist_3-10,FG%_by_dist_10-16,FG%_by_dist_16-3P,FG%_by_dist_3P,%_of_FG_astd_2P,%_of_FG_astd_3P,%_of_FGA_isdunk,Made_dunks,%_of_FGA_iscorner3,corner_3P%,Heaves_att,Salary
0,Precious Achiuwa,9.8,0.733,0.381,0.267,0.072,0.012,0.267,0.564,0.734,0.417,0.276,0.2,0.269,0.629,1.0,0.141,49.0,0.444,0.25,1.0,2840160.0
1,Steven Adams,2.6,0.996,0.696,0.281,0.019,0.0,0.004,0.599,0.645,0.5,0.4,0.0,0.0,0.503,0.0,0.163,41.0,1.0,0.0,0.0,17926829.0
2,Bam Adebayo,7.4,0.989,0.298,0.38,0.265,0.047,0.011,0.545,0.714,0.478,0.498,0.288,0.083,0.601,1.0,0.136,140.0,0.0,0.0,1.0,30351780.0
3,Ochai Agbaji,16.9,0.409,0.15,0.21,0.026,0.023,0.591,0.532,0.621,0.494,0.4,0.444,0.355,0.762,0.988,0.054,17.0,0.412,0.457,0.0,3918360.0
4,Santi Aldama,14.6,0.493,0.28,0.166,0.03,0.017,0.507,0.591,0.707,0.471,0.25,0.444,0.353,0.68,0.968,0.118,54.0,0.391,0.365,1.0,2094120.0
5,Nickeil Alexander-Walker,16.9,0.461,0.139,0.207,0.044,0.071,0.539,0.515,0.634,0.443,0.385,0.571,0.384,0.329,0.803,0.01,2.0,0.277,0.386,2.0,5009633.0
6,Grayson Allen,18.7,0.343,0.18,0.104,0.054,0.005,0.657,0.518,0.67,0.345,0.4,0.0,0.399,0.606,0.884,0.027,12.0,0.213,0.474,0.0,8925000.0
7,Jarrett Allen,4.4,0.984,0.575,0.307,0.075,0.027,0.016,0.653,0.764,0.51,0.511,0.294,0.1,0.774,1.0,0.319,179.0,0.6,0.0,0.0,20000000.0
8,Jose Alvarado,15.6,0.495,0.186,0.243,0.051,0.014,0.505,0.488,0.67,0.395,0.36,0.143,0.336,0.381,0.94,0.0,0.0,0.287,0.38,3.0,1563518.0
9,Kyle Anderson,9.9,0.788,0.246,0.426,0.087,0.028,0.212,0.536,0.648,0.512,0.465,0.143,0.41,0.512,0.93,0.02,10.0,0.448,0.468,1.0,8780488.0
