,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
0,Precious Achiuwa,C,23.0,TOR,55.0,12.0,1140.0,196.0,404.0,0.485,29.0,108.0,0.269,167.0,296.0,0.564,0.521,87.0,124.0,0.702,100.0,228.0,328.0,50.0,31.0,30.0,59.0,102.0,508.0,2840160.0
1,Steven Adams,C,29.0,MEM,42.0,42.0,1133.0,157.0,263.0,0.597,0.0,1.0,0.0,157.0,262.0,0.599,0.597,47.0,129.0,0.364,214.0,271.0,485.0,97.0,36.0,46.0,79.0,98.0,361.0,17926829.0
2,Bam Adebayo,C,25.0,MIA,75.0,75.0,2598.0,602.0,1114.0,0.54,1.0,12.0,0.083,601.0,1102.0,0.545,0.541,324.0,402.0,0.806,184.0,504.0,688.0,240.0,88.0,61.0,187.0,208.0,1529.0,30351780.0
3,Ochai Agbaji,SG,22.0,UTA,59.0,22.0,1209.0,165.0,386.0,0.427,81.0,228.0,0.355,84.0,158.0,0.532,0.532,56.0,69.0,0.812,43.0,78.0,121.0,67.0,16.0,15.0,41.0,99.0,467.0,3918360.0
4,Santi Aldama,PF,22.0,MEM,77.0,20.0,1682.0,247.0,525.0,0.47,94.0,266.0,0.353,153.0,259.0,0.591,0.56,108.0,144.0,0.75,85.0,286.0,371.0,97.0,45.0,48.0,60.0,143.0,696.0,2094120.0
5,Nickeil Alexander-Walker,SG,24.0,TOT,59.0,3.0,884.0,131.0,295.0,0.444,61.0,159.0,0.384,70.0,136.0,0.515,0.547,40.0,60.0,0.667,15.0,86.0,101.0,108.0,32.0,21.0,55.0,88.0,363.0,5009633.0
6,Grayson Allen,SG,27.0,MIL,72.0,70.0,1972.0,245.0,557.0,0.44,146.0,366.0,0.399,99.0,191.0,0.518,0.571,114.0,126.0,0.905,61.0,176.0,237.0,163.0,62.0,14.0,72.0,117.0,750.0,8925000.0
7,Jarrett Allen,C,24.0,CLE,68.0,68.0,2220.0,403.0,626.0,0.644,1.0,10.0,0.1,402.0,616.0,0.653,0.645,162.0,221.0,0.733,221.0,445.0,666.0,113.0,54.0,84.0,93.0,153.0,969.0,20000000.0
8,Jose Alvarado,PG,24.0,NOP,61.0,10.0,1310.0,201.0,489.0,0.411,83.0,247.0,0.336,118.0,242.0,0.488,0.496,65.0,80.0,0.813,28.0,113.0,141.0,186.0,67.0,10.0,81.0,125.0,550.0,1563518.0
9,Kyle Anderson,PF,29.0,MIN,69.0,46.0,1957.0,252.0,495.0,0.509,43.0,105.0,0.41,209.0,390.0,0.536,0.553,100.0,136.0,0.735,66.0,302.0,368.0,335.0,78.0,63.0,103.0,146.0,647.0,8780488.0
